# ANZ150_position_x_set	index0_set	index1_set	daq_ai_voltage
# "x position"	"index0"	"index1"	"Voltage"
# 100	6	100
-1.6	0	0	-0.976191793091199
-1.6	0	1	-0.974977333284435
-1.6	0	2	-0.976498536299234
-1.6	0	3	-0.976604919062224
-1.6	0	4	-0.975562948509469
-1.6	0	5	-0.976990656899018
-1.6	0	6	-0.976073757075553
-1.6	0	7	-0.974955638071246
-1.6	0	8	-0.976508149364622
-1.6	0	9	-0.975668472499954
-1.6	0	10	-0.976762426230599
-1.6	0	11	-0.97560564157562
-1.6	0	12	-0.976804474448145
-1.6	0	13	-0.976515023322811
-1.6	0	14	-0.975327306645313
-1.6	0	15	-0.977255030281699
-1.6	0	16	-0.975657785861359
-1.6	0	17	-0.976645195854981
-1.6	0	18	-0.976814677922661
-1.6	0	19	-0.976482319415788
-1.6	0	20	-0.976696749679068
-1.6	0	21	-0.976107321697176
-1.6	0	22	-0.977383753338988
-1.6	0	23	-0.977208310525439
-1.6	0	24	-0.975422466466354
-1.6	0	25	-0.977366139460336
-1.6	0	26	-0.975414572562675
-1.6	0	27	-0.975543939734683
-1.6	0	28	-0.976181001078244
-1.6	0	29	-0.975130867828749
-1.6	0	30	-0.975690706409928
-1.6	0	31	-0.97476532189369
-1.6	0	32	-0.975537657370748
-1.6	0	33	-0.975395080002851
-1.6	0	34	-0.974022952349292
-1.6	0	35	-0.975551458854597
-1.6	0	36	-0.974446442585356
-1.6	0	37	-0.974964071824048
-1.6	0	38	-0.974916384913605
-1.6	0	39	-0.974366266514889
-1.6	0	40	-0.974918747670211
-1.6	0	41	-0.973807824200807
-1.6	0	42	-0.975274144232353
-1.6	0	43	-0.974816714616037
-1.6	0	44	-0.973146382442259
-1.6	0	45	-0.974671129790457
-1.6	0	46	-0.973467678726533
-1.6	0	47	-0.973567671009828
-1.6	0	48	-0.974093731109661
-1.6	0	49	-0.972879969228734
-1.6	0	50	-0.973187893849809
-1.6	0	51	-0.97195533642694
-1.6	0	52	-0.973224947922442
-1.6	0	53	-0.972856931340087
-1.6	0	54	-0.971300661175262
-1.6	0	55	-0.972881043297825
-1.6	0	56	-0.972027564866889
-1.6	0	57	-0.973175918235221
-1.6	0	58	-0.973135266092598
-1.6	0	59	-0.970658337048421
-1.6	0	60	-0.971349046064146
-1.6	0	61	-0.970441490307619
-1.6	0	62	-0.971681136226847
-1.6	0	63	-0.971053795072629
-1.6	0	64	-0.969490812158437
-1.6	0	65	-0.970766330728183
-1.6	0	66	-0.969562557405099
-1.6	0	67	-0.969562772222937
-1.6	0	68	-0.970393749607247
-1.6	0	69	-0.968957770896234
-1.6	0	70	-0.968560003683216
-1.6	0	71	-0.967625919423105
-1.6	0	72	-0.968720785985105
-1.6	0	73	-0.968471879397982
-1.6	0	74	-0.966997718810864
-1.6	0	75	-0.968205680841125
-1.6	0	76	-0.966308620700485
-1.6	0	77	-0.966073730267705
-1.6	0	78	-0.966940687688779
-1.6	0	79	-0.965879330646267
-1.6	0	80	-0.966183871901135
-1.6	0	81	-0.964849764912381
-1.6	0	82	-0.966244608249836
-1.6	0	83	-0.96574249892525
-1.6	0	84	-0.963504971091582
-1.6	0	85	-0.964697628047992
-1.6	0	86	-0.962824196614023
-1.6	0	87	-0.963581495383036
-1.6	0	88	-0.963948169392126
-1.6	0	89	-0.962716900685802
-1.6	0	90	-0.963183942571614
-1.6	0	91	-0.962074898615488
-1.6	0	92	-0.963015426975563
-1.6	0	93	-0.962354790955311
-1.6	0	94	-0.959645173083732
-1.6	0	95	-0.9613682400485
-1.6	0	96	-0.959667996144524
-1.6	0	97	-0.960434800338509
-1.6	0	98	-0.960986583583619
-1.6	0	99	-0.95910106945667

-1.6	1	0	1.80547530892398
-1.6	1	1	1.80457500034685
-1.6	1	2	1.80466468214355
-1.6	1	3	1.80526452985049
-1.6	1	4	1.80591861624964
-1.6	1	5	1.80650847544679
-1.6	1	6	1.80679524239129
-1.6	1	7	1.80621005523926
-1.6	1	8	1.80598815991861
-1.6	1	9	1.80703195937448
-1.6	1	10	1.80892349347839
-1.6	1	11	1.81078914338311
-1.6	1	12	1.81199968655442
-1.6	1	13	1.81254228828591
-1.6	1	14	1.81296733704991
-1.6	1	15	1.8132095853095
-1.6	1	16	1.81299418788773
-1.6	1	17	1.8131892860761
-1.6	1	18	1.8133050668891
-1.6	1	19	1.81380148518115
-1.6	1	20	1.81452967990778
-1.6	1	21	1.81548739559921
-1.6	1	22	1.81651610490925
-1.6	1	23	1.81736711537451
-1.6	1	24	1.81824153977257
-1.6	1	25	1.81903643198963
-1.6	1	26	1.81976215644859
-1.6	1	27	1.82064920074605
-1.6	1	28	1.82183273200449
-1.6	1	29	1.82338234759989
-1.6	1	30	1.82498673891249
-1.6	1	31	1.82641557944743
-1.6	1	32	1.82800445098766
-1.6	1	33	1.82967263991284
-1.6	1	34	1.83126333732326
-1.6	1	35	1.83282927826637
-1.6	1	36	1.83384219932808
-1.6	1	37	1.83442770873105
-1.6	1	38	1.83514033000879
-1.6	1	39	1.8361306963715
-1.6	1	40	1.83713395113991
-1.6	1	41	1.83746598862178
-1.6	1	42	1.83748977846565
-1.6	1	43	1.83727099782504
-1.6	1	44	1.83679326768757
-1.6	1	45	1.83625635830034
-1.6	1	46	1.83586224167848
-1.6	1	47	1.8356883556417
-1.6	1	48	1.83584602377108
-1.6	1	49	1.83616264887059
-1.6	1	50	1.83631591346237
-1.6	1	51	1.83624105332182
-1.6	1	52	1.83630254174446
-1.6	1	53	1.83632504274781
-1.6	1	54	1.83651160238079
-1.6	1	55	1.8365773869377
-1.6	1	56	1.83632171324371
-1.6	1	57	1.83621812270482
-1.6	1	58	1.83582352276772
-1.6	1	59	1.83525589602171
-1.6	1	60	1.83468451015889
-1.6	1	61	1.83433459002003
-1.6	1	62	1.8342188629024
-1.6	1	63	1.83412875148546
-1.6	1	64	1.83408133290323
-1.6	1	65	1.83395346920635
-1.6	1	66	1.83356241358209
-1.6	1	67	1.833362911846
-1.6	1	68	1.83322269676302
-1.6	1	69	1.83353561644442
-1.6	1	70	1.8335436716962
-1.6	1	71	1.8334791759801
-1.6	1	72	1.83357369093455
-1.6	1	73	1.83347675940476
-1.6	1	74	1.83316963950469
-1.6	1	75	1.83266543444489
-1.6	1	76	1.83217057347755
-1.6	1	77	1.83156084462082
-1.6	1	78	1.83084774003461
-1.6	1	79	1.83027479682963
-1.6	1	80	1.82978439310468
-1.6	1	81	1.82925140394978
-1.6	1	82	1.82858217363846
-1.6	1	83	1.82784259413034
-1.6	1	84	1.82710876070327
-1.6	1	85	1.82618444742693
-1.6	1	86	1.82495075878864
-1.6	1	87	1.82360456514046
-1.6	1	88	1.822133783606
-1.6	1	89	1.82087394226374
-1.6	1	90	1.81964562381006
-1.6	1	91	1.81817151278657
-1.6	1	92	1.81646637715725
-1.6	1	93	1.81463885541534
-1.6	1	94	1.8133442154113
-1.6	1	95	1.81236351540751
-1.6	1	96	1.81147469897337
-1.6	1	97	1.81078232327016
-1.6	1	98	1.81046333531754
-1.6	1	99	1.81069387661061

-1.6	2	0	0.0342047757903721
-1.6	2	1	0.0340124706589014
-1.6	2	2	0.0339048528193501
-1.6	2	3	0.0343410165383747
-1.6	2	4	0.0348867850532758
-1.6	2	5	0.0355098300511078
-1.6	2	6	0.0359890623871564
-1.6	2	7	0.0362898445829265
-1.6	2	8	0.036041743575183
-1.6	2	9	0.0352186604270368
-1.6	2	10	0.0347853428880811
-1.6	2	11	0.034502550700782
-1.6	2	12	0.0344840773790138
-1.6	2	13	0.0348017755522297
-1.6	2	14	0.0354660633149244
-1.6	2	15	0.0356593887754162
-1.6	2	16	0.0354009233750305
-1.6	2	17	0.0351065316599436
-1.6	2	18	0.0351042224947275
-1.6	2	19	0.0353424961247382
-1.6	2	20	0.0354141876496655
-1.6	2	21	0.035226823057563
-1.6	2	22	0.0348117640343299
-1.6	2	23	0.0348012922385604
-1.6	2	24	0.0351076056902875
-1.6	2	25	0.0355044598994144
-1.6	2	26	0.035842242440175
-1.6	2	27	0.0361190737594019
-1.6	2	28	0.0362860317752328
-1.6	2	29	0.036123960597446
-1.6	2	30	0.035567559181668
-1.6	2	31	0.0354232095044853
-1.6	2	32	0.0360201555654252
-1.6	2	33	0.0365362808437275
-1.6	2	34	0.036326522718934
-1.6	2	35	0.0360221425215266
-1.6	2	36	0.0356953150901523
-1.6	2	37	0.0358913256265418
-1.6	2	38	0.0362684713792377
-1.6	2	39	0.0362816819523688
-1.6	2	40	0.0362951073315836
-1.6	2	41	0.036283346699393
-1.6	2	42	0.0363209914626991
-1.6	2	43	0.0360934581358763
-1.6	2	44	0.0358138343377766
-1.6	2	45	0.0355016674205593
-1.6	2	46	0.0354750314682112
-1.6	2	47	0.03540956931922
-1.6	2	48	0.0353966809551831
-1.6	2	49	0.0349466085429835
-1.6	2	50	0.0344977712657899
-1.6	2	51	0.0345503450507007
-1.6	2	52	0.0354626264178764
-1.6	2	53	0.0362374856040268
-1.6	2	54	0.0360752533216742
-1.6	2	55	0.0355053191236923
-1.6	2	56	0.03510422249473
-1.6	2	57	0.0352306895667738
-1.6	2	58	0.0355863010110317
-1.6	2	59	0.0357144328301452
-1.6	2	60	0.0356962280159335
-1.6	2	61	0.0357124995755359
-1.6	2	62	0.0357022962873371
-1.6	2	63	0.0354457104400271
-1.6	2	64	0.0354074212585472
-1.6	2	65	0.0357116403512843
-1.6	2	66	0.0363985364530249
-1.6	2	67	0.0366053409943965
-1.6	2	68	0.0364774776827854
-1.6	2	69	0.035929668509565
-1.6	2	70	0.0356325917185219
-1.6	2	71	0.035404038062988
-1.6	2	72	0.035767543630281
-1.6	2	73	0.0361533890286711
-1.6	2	74	0.0362238454187589
-1.6	2	75	0.035775974768436
-1.6	2	76	0.035400493762883
-1.6	2	77	0.0352835855608207
-1.6	2	78	0.0346142498556724
-1.6	2	79	0.0340311050852218
-1.6	2	80	0.0342623975178443
-1.6	2	81	0.0344873531715271
-1.6	2	82	0.0341484428993229
-1.6	2	83	0.0334184781823739
-1.6	2	84	0.033022590601185
-1.6	2	85	0.0336939132616493
-1.6	2	86	0.034155853708602
-1.6	2	87	0.0339080212088352
-1.6	2	88	0.0338945421281421
-1.6	2	89	0.034218845587754
-1.6	2	90	0.0345027655068424
-1.6	2	91	0.0345175334239602
-1.6	2	92	0.0341169201089691
-1.6	2	93	0.0336810785991314
-1.6	2	94	0.0335951024708515
-1.6	2	95	0.0336168515851235
-1.6	2	96	0.0339479214357789
-1.6	2	97	0.0341789990623264
-1.6	2	98	0.0339814848837429
-1.6	2	99	0.0340748718213626

-1.6	3	0	0.0339188689157564
-1.6	3	1	0.0323739836840408
-1.6	3	2	0.0367336339249615
-1.6	3	3	0.0312342226938
-1.6	3	4	0.0344387533003699
-1.6	3	5	0.04095924518619
-1.6	3	6	0.0379085157082838
-1.6	3	7	0.0374187578710992
-1.6	3	8	0.037569229522611
-1.6	3	9	0.0367910408405401
-1.6	3	10	0.0376306103557993
-1.6	3	11	0.0326109147772633
-1.6	3	12	0.0324732240926415
-1.6	3	13	0.0370203463219294
-1.6	3	14	0.0365532505259957
-1.6	3	15	0.0338203803350434
-1.6	3	16	0.0380102800802291
-1.6	3	17	0.0294114858198803
-1.6	3	18	0.0370603002466594
-1.6	3	19	0.0352753155273994
-1.6	3	20	0.044770388162613
-1.6	3	21	0.038636708286262
-1.6	3	22	0.0370863454810997
-1.6	3	23	0.0291617200680768
-1.6	3	24	0.0343524012629198
-1.6	3	25	0.0349341497960866
-1.6	3	26	0.0300813585354994
-1.6	3	27	0.0374867976944506
-1.6	3	28	0.037461450580806
-1.6	3	29	0.0328938680659435
-1.6	3	30	0.0255138834551255
-1.6	3	31	0.0318723578187771
-1.6	3	32	0.0375538708871844
-1.6	3	33	0.0402001205422528
-1.6	3	34	0.0397383411948459
-1.6	3	35	0.0392638882928412
-1.6	3	36	0.0447874652362819
-1.6	3	37	0.0358859017754325
-1.6	3	38	0.0350711960642635
-1.6	3	39	0.0363045588005356
-1.6	3	40	0.0397801746758349
-1.6	3	41	0.0342881742507295
-1.6	3	42	0.0388489366750524
-1.6	3	43	0.0373283245219676
-1.6	3	44	0.0299022639788675
-1.6	3	45	0.0437293305473502
-1.6	3	46	0.038801410829437
-1.6	3	47	0.0425810846996307
-1.6	3	48	0.0423866315062689
-1.6	3	49	0.0374528046349017
-1.6	3	50	0.0352507739363674
-1.6	3	51	0.0379484159326898
-1.6	3	52	0.0343793057233364
-1.6	3	53	0.0335457507780149
-1.6	3	54	0.0334416772411917
-1.6	3	55	0.0369705113120977
-1.6	3	56	0.0361189663580581
-1.6	3	57	0.0311351970972444
-1.6	3	58	0.0292794874921279
-1.6	3	59	0.0342184696784361
-1.6	3	60	0.0321477391946869
-1.6	3	61	0.0319623615658865
-1.6	3	62	0.0275155537773091
-1.6	3	63	0.0333769669168065
-1.6	3	64	0.0361891542390889
-1.6	3	65	0.0363582066165091
