# ANZ150_position_x_set	index0_set	index1_set	daq_ai_voltage
# "x position"	"index0"	"index1"	"Voltage"
# 100	6	100
-1.6	0	0	2.1375595274654
-1.6	0	1	2.13844265840541
-1.6	0	2	2.13735316139611
-1.6	0	3	2.13728576812835
-1.6	0	4	2.13780270234172
-1.6	0	5	2.13712283644779
-1.6	0	6	2.13843536106453
-1.6	0	7	2.13730027322516
-1.6	0	8	2.1367433422295
-1.6	0	9	2.13810156979347
-1.6	0	10	2.13644421872738
-1.6	0	11	2.13752356107642
-1.6	0	12	2.13735381213342
-1.6	0	13	2.13616866940812
-1.6	0	14	2.13736627228033
-1.6	0	15	2.13688354976929
-1.6	0	16	2.13771216564581
-1.6	0	17	2.13716220783166
-1.6	0	18	2.13700931558724
-1.6	0	19	2.13796048618034
-1.6	0	20	2.13696695382114
-1.6	0	21	2.13776506846783
-1.6	0	22	2.13699928171729
-1.6	0	23	2.1364724677973
-1.6	0	24	2.13738996427599
-1.6	0	25	2.13697431666513
-1.6	0	26	2.13745699310007
-1.6	0	27	2.13742751931311
-1.6	0	28	2.13685022913548
-1.6	0	29	2.13794837787939
-1.6	0	30	2.13712352460902
-1.6	0	31	2.13787358016828
-1.6	0	32	2.13769019051792
-1.6	0	33	2.13742184594233
-1.6	0	34	2.13850012385482
-1.6	0	35	2.13759654293959
-1.6	0	36	2.1382903720018
-1.6	0	37	2.13782628880915
-1.6	0	38	2.13773591266715
-1.6	0	39	2.13930174558987
-1.6	0	40	2.13827523424254
-1.6	0	41	2.13876773471164
-1.6	0	42	2.13859728885143
-1.6	0	43	2.13832813522809
-1.6	0	44	2.13924530790427
-1.6	0	45	2.13910525532692
-1.6	0	46	2.1392081484056
-1.6	0	47	2.1389658983069
-1.6	0	48	2.13849901404224
-1.6	0	49	2.14000577705775
-1.6	0	50	2.13946188552311
-1.6	0	51	2.13971309990622
-1.6	0	52	2.13998644200957
-1.6	0	53	2.13957213115449
-1.6	0	54	2.14081752707238
-1.6	0	55	2.14032819454959
-1.6	0	56	2.14061088173402
-1.6	0	57	2.14110391942823
-1.6	0	58	2.14064745436362
-1.6	0	59	2.14219508351562
-1.6	0	60	2.14158642737921
-1.6	0	61	2.1420707628624
-1.6	0	62	2.14248088413306
-1.6	0	63	2.14202049554055
-1.6	0	64	2.14299711623511
-1.6	0	65	2.14272586749257
-1.6	0	66	2.14289159200082
-1.6	0	67	2.14356458269908
-1.6	0	68	2.14280368351678
-1.6	0	69	2.14432462503019
-1.6	0	70	2.14391187347272
-1.6	0	71	2.14397330801036
-1.6	0	72	2.14537776939466
-1.6	0	73	2.14441253140816
-1.6	0	74	2.1461295357416
-1.6	0	75	2.14554429079595
-1.6	0	76	2.14599688863816
-1.6	0	77	2.14693129762453
-1.6	0	78	2.14677212233408
-1.6	0	79	2.14806305904328
-1.6	0	80	2.14753924687262
-1.6	0	81	2.14781167610003
