# ANZ150_position_x_set	index0_set	index1_set	daq_ai_voltage
# "x position"	"index0"	"index1"	"Voltage"
# 100	6	100
-1.6	0	0	2.20430657003679
-1.6	0	1	2.20390638750587
-1.6	0	2	2.20271373099954
-1.6	0	3	2.20357784990077
-1.6	0	4	2.2027167440215
-1.6	0	5	2.20278827634109
-1.6	0	6	2.20224653332666
-1.6	0	7	2.20319174153758
-1.6	0	8	2.20382001311937
-1.6	0	9	2.20225284387894
-1.6	0	10	2.20373484209034
-1.6	0	11	2.20304649108428
-1.6	0	12	2.20264222529051
-1.6	0	13	2.20335726447835
-1.6	0	14	2.20277964151186
-1.6	0	15	2.20414457917546
-1.6	0	16	2.20233821541614
-1.6	0	17	2.20284682736619
-1.6	0	18	2.20451475422656
-1.6	0	19	2.20252376642144
-1.6	0	20	2.20351081033057
-1.6	0	21	2.20194481948672
-1.6	0	22	2.20052172670786
-1.6	0	23	2.20165762728324
-1.6	0	24	2.20110052264686
-1.6	0	25	2.20199793387567
-1.6	0	26	2.20127253573526
-1.6	0	27	2.20173968868059
-1.6	0	28	2.20325719804321
-1.6	0	29	2.20202894001878
-1.6	0	30	2.20350429332684
-1.6	0	31	2.20336730478643
-1.6	0	32	2.20247999056056
-1.6	0	33	2.2040492673982
-1.6	0	34	2.20411301515039
-1.6	0	35	2.20423078464401
-1.6	0	36	2.20338852811482
-1.6	0	37	2.20351280383893
-1.6	0	38	2.20486663072558
-1.6	0	39	2.20350249643035
-1.6	0	40	2.20508953722389
-1.6	0	41	2.20504705647549
-1.6	0	42	2.20385987351318
-1.6	0	43	2.20511730116289
-1.6	0	44	2.20523694996578
-1.6	0	45	2.20544773662363
-1.6	0	46	2.20464849882238
-1.6	0	47	2.20423553190574
-1.6	0	48	2.2057095342065
-1.6	0	49	2.20520532408549
-1.6	0	50	2.20638294209818
-1.6	0	51	2.2063065191379
-1.6	0	52	2.20594934731957
-1.6	0	53	2.20733404712656
-1.6	0	54	2.20667684479684
-1.6	0	55	2.20710345287963
-1.6	0	56	2.20683671478989
-1.6	0	57	2.20707853573955
