# ANZ150_position_x_set	index0_set	index1_set	daq_ai_voltage
# "x position"	"index0"	"index1"	"Voltage"
# 100	6	100
-1.6	0	0	2.0651195329505
-1.6	0	1	2.06425622753829
-1.6	0	2	2.06463375097717
-1.6	0	3	2.06715736147696
-1.6	0	4	2.06444725307831
-1.6	0	5	2.06528907736141
-1.6	0	6	2.06512029227327
-1.6	0	7	2.06395765385814
-1.6	0	8	2.06491451797706
-1.6	0	9	2.06402000808912
-1.6	0	10	2.06540158918039
-1.6	0	11	2.06426182327324
-1.6	0	12	2.06326334785057
-1.6	0	13	2.06546984559029
-1.6	0	14	2.06362948861865
-1.6	0	15	2.06459939447114
-1.6	0	16	2.06435709426512
-1.6	0	17	2.06373485460493
-1.6	0	18	2.06473161304137
-1.6	0	19	2.06382786754755
-1.6	0	20	2.06534027147412
-1.6	0	21	2.06424341578715
-1.6	0	22	2.0635503410739
-1.6	0	23	2.06533758860626
-1.6	0	24	2.06457706875271
-1.6	0	25	2.06523480690943
-1.6	0	26	2.06461144178638
-1.6	0	27	2.06440469506884
-1.6	0	28	2.06572055024583
-1.6	0	29	2.06404425026559
-1.6	0	30	2.06605554480642
-1.6	0	31	2.06490472038882
-1.6	0	32	2.0643419299203
-1.6	0	33	2.06616053890947
-1.6	0	34	2.06492373452976
-1.6	0	35	2.06572872391866
-1.6	0	36	2.06511867488155
-1.6	0	37	2.06522028318056
-1.6	0	38	2.06625484617345
-1.6	0	39	2.06521850767312
-1.6	0	40	2.06710343848307
-1.6	0	41	2.0659324711827
-1.6	0	42	2.06512973803896
-1.6	0	43	2.06721492151387
-1.6	0	44	2.06602795153492
-1.6	0	45	2.06666458718409
-1.6	0	46	2.06627653855254
-1.6	0	47	2.06648420298221
-1.6	0	48	2.06740459288571
-1.6	0	49	2.06638963042264
-1.6	0	50	2.06808531949086
-1.6	0	51	2.06772014691312
-1.6	0	52	2.06727141574251
-1.6	0	53	2.06961544135693
-1.6	0	54	2.06849731750765
-1.6	0	55	2.06939456826631
-1.6	0	56	2.06882361195233
-1.6	0	57	2.06790923291439
-1.6	0	58	2.06909045433824
-1.6	0	59	2.06833589153409
-1.6	0	60	2.07015793814639
-1.6	0	61	2.06923862040516
-1.6	0	62	2.06866508457153
-1.6	0	63	2.07077765221922
-1.6	0	64	2.06973873587431
-1.6	0	65	2.07073721477132
-1.6	0	66	2.07057965348354
-1.6	0	67	2.07041806572249
-1.6	0	68	2.07165331348453
-1.6	0	69	2.07082131406253
-1.6	0	70	2.07280328502606
-1.6	0	71	2.07170357923023
-1.6	0	72	2.07138147469938
-1.6	0	73	2.07368350658186
-1.6	0	74	2.07253004534787
-1.6	0	75	2.07327284565084
-1.6	0	76	2.07305132553903
