# ANZ150_position_x_set	index0_set	index1_set	daq_ai_voltage
# "x position"	"index0"	"index1"	"Voltage"
# 100	6	100
-1.6	0	0	2.06723056170638
-1.6	0	1	2.06825739908456
-1.6	0	2	2.06794566521738
-1.6	0	3	2.06871446078579
-1.6	0	4	2.06830831259472
-1.6	0	5	2.06763193419237
-1.6	0	6	2.06802841417768
-1.6	0	7	2.06691840650793
-1.6	0	8	2.06687910517076
-1.6	0	9	2.06743427379504
-1.6	0	10	2.06767662575324
-1.6	0	11	2.06767125228545
-1.6	0	12	2.0667080041205
-1.6	0	13	2.06689257765983
-1.6	0	14	2.06782521690237
-1.6	0	15	2.06714594513674
-1.6	0	16	2.06786989712472
-1.6	0	17	2.06692877448468
-1.6	0	18	2.06784906150353
-1.6	0	19	2.06784954458086
-1.6	0	20	2.06787231552846
-1.6	0	21	2.06854616515815
-1.6	0	22	2.06738051630122
-1.6	0	23	2.06735565451768
-1.6	0	24	2.06769311997384
-1.6	0	25	2.0669923141741
-1.6	0	26	2.06827772007445
-1.6	0	27	2.06783022607208
-1.6	0	28	2.06757509200816
-1.6	0	29	2.06811968254737
-1.6	0	30	2.06762042200411
-1.6	0	31	2.06854312580016
-1.6	0	32	2.06809240850755
-1.6	0	33	2.06818542248927
-1.6	0	34	2.0682150105991
-1.6	0	35	2.06785682291809
-1.6	0	36	2.06880976128874
-1.6	0	37	2.06849072359503
-1.6	0	38	2.06874865379937
-1.6	0	39	2.06887984407517
-1.6	0	40	2.06890245277432
-1.6	0	41	2.07029934210698
-1.6	0	42	2.0687702928094
-1.6	0	43	2.06936745701353
-1.6	0	44	2.07015622736929
-1.6	0	45	2.0690212438544
-1.6	0	46	2.07022303362854
-1.6	0	47	2.06960471015241
-1.6	0	48	2.0698932480319
-1.6	0	49	2.07009677848271
-1.6	0	50	2.07049401180002
-1.6	0	51	2.07163672889457
-1.6	0	52	2.07025611049576
-1.6	0	53	2.07054846203016
-1.6	0	54	2.07085697683679
-1.6	0	55	2.07055957714453
-1.6	0	56	2.07168774179933
-1.6	0	57	2.07109933079894
-1.6	0	58	2.07144678045041
-1.6	0	59	2.07218158052464
-1.6	0	60	2.07188155253822
-1.6	0	61	2.07280656586579
-1.6	0	62	2.07252597454731
-1.6	0	63	2.07304553828989
-1.6	0	64	2.07321850934669
-1.6	0	65	2.07293893957237
-1.6	0	66	2.07467887550265
-1.6	0	67	2.07377668445926
-1.6	0	68	2.07398231016314
-1.6	0	69	2.07449908016468
-1.6	0	70	2.07465003729028
-1.6	0	71	2.07609047824057
-1.6	0	72	2.07498996690261
-1.6	0	73	2.07605551963105
-1.6	0	74	2.07634846193861
-1.6	0	75	2.07579903832791
-1.6	0	76	2.07720511023134
-1.6	0	77	2.07680631898439
-1.6	0	78	2.07724909064016
-1.6	0	79	2.07737372942122
-1.6	0	80	2.0769647366292
-1.6	0	81	2.0784146277315
-1.6	0	82	2.07795219974068
-1.6	0	83	2.0788267319888
-1.6	0	84	2.0796446053181
-1.6	0	85	2.07899035855267
-1.6	0	86	2.08043675840044
-1.6	0	87	2.0796910535356
-1.6	0	88	2.08078624802854
-1.6	0	89	2.08083495077897
-1.6	0	90	2.08096109494883
-1.6	0	91	2.08218844708498
-1.6	0	92	2.0817284357373
-1.6	0	93	2.08233510590279
-1.6	0	94	2.08264990379489
-1.6	0	95	2.08277186371036
-1.6	0	96	2.08432158588847
-1.6	0	97	2.08382103158306
-1.6	0	98	2.08437872441041
-1.6	0	99	2.08481440384579

-1.6	1	0	1.9140770802374
-1.6	1	1	1.91255941678272
-1.6	1	2	1.91241587216611
-1.6	1	3	1.91392698401439
-1.6	1	4	1.91627476820056
-1.6	1	5	1.9183039402709
-1.6	1	6	1.91897666134791
-1.6	1	7	1.91829201849548
-1.6	1	8	1.91795015353395
-1.6	1	9	1.91943468306763
-1.6	1	10	1.92216219194499
-1.6	1	11	1.92436772040088
-1.6	1	12	1.92481962013339
-1.6	1	13	1.92418395321295
-1.6	1	14	1.92346859298359
-1.6	1	15	1.92310648248011
-1.6	1	16	1.92338481834548
-1.6	1	17	1.92375176200157
-1.6	1	18	1.92393015902003
-1.6	1	19	1.9241233777055
-1.6	1	20	1.92422111478344
-1.6	1	21	1.92445412642209
-1.6	1	22	1.92466361671999
-1.6	1	23	1.92496869602888
-1.6	1	24	1.92564190043324
-1.6	1	25	1.92670540873357
-1.6	1	26	1.92835721907127
-1.6	1	27	1.9299109164247
-1.6	1	28	1.93132681524166
-1.6	1	29	1.93294012148603
-1.6	1	30	1.93453817645656
-1.6	1	31	1.93621264894281
-1.6	1	32	1.9380504282861
-1.6	1	33	1.93958028212733
-1.6	1	34	1.94103097967838
-1.6	1	35	1.94227476460851
-1.6	1	36	1.94306917376687
-1.6	1	37	1.94389462250633
-1.6	1	38	1.94506709159622
-1.6	1	39	1.94663641621157
-1.6	1	40	1.94780405215701
-1.6	1	41	1.94812980663698
-1.6	1	42	1.94795205402746
-1.6	1	43	1.9478358972618
-1.6	1	44	1.94788583983797
-1.6	1	45	1.94795796121402
-1.6	1	46	1.94822093841304
-1.6	1	47	1.94848724511736
-1.6	1	48	1.94855190195809
-1.6	1	49	1.94819124137586
-1.6	1	50	1.94764310817804
-1.6	1	51	1.94750230233453
-1.6	1	52	1.94729630263406
-1.6	1	53	1.94714733413327
-1.6	1	54	1.94677851089492
-1.6	1	55	1.94623907737389
-1.6	1	56	1.94564084049815
-1.6	1	57	1.94508320210409
-1.6	1	58	1.94450585518934
-1.6	1	59	1.94392082893299
-1.6	1	60	1.94328763225798
-1.6	1	61	1.94303142147598
-1.6	1	62	1.94351242754944
-1.6	1	63	1.9441693066718
-1.6	1	64	1.94482296369378
-1.6	1	65	1.94480363108369
-1.6	1	66	1.94454709809032
-1.6	1	67	1.94445752366465
-1.6	1	68	1.94415137030591
-1.6	1	69	1.94399627981323
-1.6	1	70	1.94386299220828
-1.6	1	71	1.94357923245668
-1.6	1	72	1.94364174122856
-1.6	1	73	1.94350979616636
-1.6	1	74	1.94337817331418
-1.6	1	75	1.94358272306691
-1.6	1	76	1.9436168773444
-1.6	1	77	1.94337355496882
-1.6	1	78	1.9428153258594
-1.6	1	79	1.94227916814728
-1.6	1	80	1.94155935064296
-1.6	1	81	1.94078051497891
-1.6	1	82	1.93989776653929
-1.6	1	83	1.93880536669055
-1.6	1	84	1.93772977547549
-1.6	1	85	1.93636618208327
-1.6	1	86	1.93497885254755
-1.6	1	87	1.93401232948105
-1.6	1	88	1.93287986818669
-1.6	1	89	1.93183778684415
-1.6	1	90	1.93072481927124
-1.6	1	91	1.92931396841548
-1.6	1	92	1.92788625523347
