# ANZ150_position_x_set	index0_set	index1_set	daq_ai_voltage
# "x position"	"index0"	"index1"	"Voltage"
# 100	6	100
-1.6	0	0	-0.976956561016964
-1.6	0	1	-0.977415655547718
-1.6	0	2	-0.977799084542167
-1.6	0	3	-0.975797306610055
-1.6	0	4	-0.97727635405817
-1.6	0	5	-0.976753515682142
-1.6	0	6	-0.977607155105966
-1.6	0	7	-0.978326326418169
-1.6	0	8	-0.976747448209345
-1.6	0	9	-0.976961126444595
-1.6	0	10	-0.977128245357641
-1.6	0	11	-0.977827600426509
-1.6	0	12	-0.978138102700501
-1.6	0	13	-0.975932742230739
-1.6	0	14	-0.978032418022914
-1.6	0	15	-0.97731249555093
-1.6	0	16	-0.977599208108092
-1.6	0	17	-0.977064072430094
-1.6	0	18	-0.977171099566877
-1.6	0	19	-0.977945851466857
-1.6	0	20	-0.977087647735401
-1.6	0	21	-0.977194299046519
-1.6	0	22	-0.978044770022265
-1.6	0	23	-0.976736761980607
-1.6	0	24	-0.977758487304587
-1.6	0	25	-0.976861457200062
-1.6	0	26	-0.977187425709934
-1.6	0	27	-0.977677398621749
-1.6	0	28	-0.976281642429578
-1.6	0	29	-0.97729660131011
-1.6	0	30	-0.976062325835618
-1.6	0	31	-0.976564542758979
-1.6	0	32	-0.977009997101281
-1.6	0	33	-0.975683838049992
-1.6	0	34	-0.976640691773858
-1.6	0	35	-0.974849638539344
-1.6	0	36	-0.976346138930766
-1.6	0	37	-0.976732843886472
-1.6	0	38	-0.975208955938753
-1.6	0	39	-0.975721805512139
-1.6	0	40	-0.974771986512026
-1.6	0	41	-0.975625894484175
-1.6	0	42	-0.975886776410218
-1.6	0	43	-0.974078162861343
-1.6	0	44	-0.975491264754721
-1.6	0	45	-0.974507828667945
-1.6	0	46	-0.9751439768914
-1.6	0	47	-0.975448410770449
-1.6	0	48	-0.974186210199465
-1.6	0	49	-0.974888303905291
-1.6	0	50	-0.973533092161749
-1.6	0	51	-0.973961845132894
-1.6	0	52	-0.974533712820263
-1.6	0	53	-0.972768812231416
-1.6	0	54	-0.97335668267569
-1.6	0	55	-0.972204731245637
-1.6	0	56	-0.973057403995191
-1.6	0	57	-0.97356907206006
-1.6	0	58	-0.971947984145522
-1.6	0	59	-0.9724126633657
-1.6	0	60	-0.971126672983019
-1.6	0	61	-0.971960442850618
-1.6	0	62	-0.971788866590812
-1.6	0	63	-0.970671659814047
-1.6	0	64	-0.971111689964248
-1.6	0	65	-0.969986857833719
-1.6	0	66	-0.970503090717903
-1.6	0	67	-0.970601149743129
-1.6	0	68	-0.969088431504566
-1.6	0	69	-0.969815764956098
-1.6	0	70	-0.9683552983616
-1.6	0	71	-0.968761657814827
-1.6	0	72	-0.969112543448729
-1.6	0	73	-0.967767964692313
-1.6	0	74	-0.968145325277925
-1.6	0	75	-0.966578099880829
-1.6	0	76	-0.966701076397269
-1.6	0	77	-0.967234171466654
-1.6	0	78	-0.965904682722913
-1.6	0	79	-0.966311149435851
-1.6	0	80	-0.965394947598787
-1.6	0	81	-0.965701529522716
-1.6	0	82	-0.965677578582147
-1.6	0	83	-0.964446632000943
-1.6	0	84	-0.96498600997036
-1.6	0	85	-0.964008695878652
-1.6	0	86	-0.964069432233651
-1.6	0	87	-0.963876428918293
-1.6	0	88	-0.962055839690939
-1.6	0	89	-0.962889394578155
-1.6	0	90	-0.96156973330015
-1.6	0	91	-0.961905475179161
-1.6	0	92	-0.961898332839709
-1.6	0	93	-0.960746005353848
-1.6	0	94	-0.961008337361473
-1.6	0	95	-0.959873033542861
-1.6	0	96	-0.959982853107259
-1.6	0	97	-0.960017275755783
-1.6	0	98	-0.958877890389502
